时间,RMS,频率,幅值,温度,运行时长,状态,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15
21:10:04,1138,31,359,0,0,1155,2,2191,4611,2702,25521,46067,18572,1588,7765,10486,8100,3873,3228,4381,3551,3517,1961
21:10:07,1121,31,357,0,0,1157,2,639,4073,1555,30189,47691,17823,3487,7759,7981,5818,5881,7118,7466,6300,7189,6750
21:10:09,1116,31,338,0,0,1158,2,2383,1137,1209,25370,47237,24274,3840,6694,7533,8521,7450,4445,3913,2213,3522,3639
21:10:11,1105,31,328,0,0,1162,2,248,1172,2555,25006,41990,16437,4381,5025,14041,9846,752,1871,2734,3539,3159,2439
21:10:13,1057,31,312,0,0,1164,2,553,4709,3532,23677,39975,13643,6183,9821,10486,3550,3945,1729,2004,2219,2468,1657
21:10:16,1239,31,378,0,0,1166,2,1063,7431,13205,25641,48474,32346,12159,7029,5116,4437,3499,1623,3226,466,3473,1612
21:10:18,1147,31,371,0,0,1168,2,2263,4003,3900,22859,44645,22110,6316,9785,14083,8100,2923,157,6887,10692,7422,2318
21:10:20,1048,31,326,0,0,1171,2,973,1808,7267,29745,44645,17317,3661,7790,12158,7546,1383,1582,4521,5286,4791,2177
21:10:22,1020,31,322,0,0,1173,2,812,3810,3299,20159,41307,22389,2506,3883,9219,6039,1391,6775,8804,2956,5493,4650
21:10:25,1121,31,373,0,0,1175,2,5704,4849,4004,29302,47776,21540,6411,7429,13019,6369,1820,2235,2966,2349,2825,1719
21:10:27,1065,31,355,0,0,1177,2,206,3239,4017,22559,45471,23331,3959,8093,2098,2992,4134,3836,4429,3007,2765,1619
21:10:29,1073,31,339,0,0,1179,2,57,1769,1521,28066,46651,18420,3891,5042,9644,5105,4992,2814,809,1944,584,1046
21:10:31,1247,31,376,0,0,1182,2,117,1776,3662,27077,45966,24558,10284,12694,14342,7989,3703,3656,3266,1035,1002,1640
21:10:33,1123,31,341,0,0,1184,2,1972,2363,2532,25464,43736,17510,5364,5497,12928,8902,3885,2846,870,6471,3168,3023
21:10:36,1230,31,389,0,0,1186,2,1748,1809,5025,25852,49817,29310,864,6749,4063,7175,5693,1322,6108,8534,4727,694
21:10:38,1099,31,361,0,0,1188,2,1767,1711,2701,20547,42471,19267,6748,3491,9146,8572,5458,3323,3172,2521,2327,1656
21:10:40,1070,31,361,0,0,1189,2,6638,4625,1560,22051,43123,24271,4560,5337,7558,2759,2817,1923,1604,2491,672,1307
21:10:42,1134,31,365,0,0,1193,2,3468,2317,8858,23599,38482,18072,4517,8352,13086,9166,1565,3116,4690,1169,4462,4600
21:10:45,1083,31,311,0,0,1195,2,2868,4799,4488,20085,39856,17453,1386,5373,13367,7622,2630,2579,3926,546,4347,2963
21:10:47,1036,31,326,0,0,1197,2,4563,3279,2361,24346,41810,20389,2033,5919,7742,2620,4932,2778,4370,5003,4483,1404
21:10:49,1054,31,321,0,0,1199,2,2838,3753,4154,23833,42478,19491,750,5255,8689,7124,2909,2936,1348,4239,2671,1961
21:10:51,1017,31,285,0,0,1200,2,4379,5402,2971,23312,44446,24926,4591,8441,12240,5054,2092,1102,2596,495,2634,1168
21:10:53,950,31,273,0,0,1204,2,1265,1324,1590,20672,34962,11133,7400,5297,11577,3772,2457,2948,3534,98,1304,2675
21:10:56,1021,31,303,0,0,1206,2,6046,8162,3802,19439,38796,17954,6920,5720,6472,2010,1259,3252,4467,2906,3552,2479
21:10:58,1037,31,353,0,0,1208,2,413,3183,6151,22154,45195,27309,6522,1463,12469,6387,2013,3199,4684,4479,4723,3865
21:11:00,1028,31,323,0,0,1210,2,3021,4375,2640,18904,36979,18989,1033,9321,13912,8275,2655,2378,4964,3718,4210,2207
21:11:02,1006,31,311,0,0,1211,2,289,3910,5371,20843,39922,21512,1186,5762,8773,4496,3827,2918,3426,3068,2958,2717
21:11:05,899,31,289,0,0,1215,2,93,5194,3081,19982,37055,20674,3971,7107,13798,5400,2154,1510,2331,1889,1230,1680
21:11:07,749,31,259,0,0,1217,2,870,1628,785,17552,33232,18808,4856,6955,11770,5609,2425,1493,367,717,1115,342
21:11:09,705,31,206,0,0,1219,2,138,3210,864,13251,26495,13601,861,6734,7767,3590,653,2388,4474,6037,5405,3305
21:11:11,735,31,220,0,0,1221,2,1004,1784,524,14093,27659,14277,1379,5433,10991,8795,3664,2092,1344,613,1359,2590
21:11:13,743,31,227,0,0,1224,2,771,1310,3011,17369,29342,12036,2366,4275,7095,3423,1941,1526,3724,3183,2668,1345
21:11:16,760,31,231,0,0,1226,2,1668,1061,2160,15227,29644,13637,2627,4722,7530,3983,3066,396,2876,1484,2937,634
21:11:18,681,31,192,0,0,1228,2,237,911,6148,6682,24592,18784,5331,3852,10777,6102,2146,1685,815,922,1930,1729
21:11:20,781,31,237,0,0,1230,2,386,3123,2980,16795,30455,13813,3422,5222,10608,5506,3767,2389,1002,1315,961,1232
21:11:22,751,31,206,0,0,1231,2,3218,3765,2174,14117,26627,11736,1670,1766,6743,6730,4186,2229,1684,654,2330,1515
21:11:25,688,31,206,0,0,1235,2,2146,3104,1387,17014,33503,19364,3712,3772,8261,4148,6362,3367,4711,5756,4930,3189
21:11:27,777,31,237,0,0,1237,2,2584,4145,3881,16514,30430,15005,2210,5916,10562,4007,2518,919,2390,2950,2699,631
21:11:29,768,31,239,0,0,1239,2,2858,3516,2322,16451,30698,14493,2227,5047,7769,5459,2933,1343,1541,2170,1782,1058
21:11:31,787,31,254,0,0,1241,2,807,3675,2579,14706,28565,14265,1378,977,7190,951,4281,1666,3727,5516,4074,2220
21:11:34,771,31,228,0,0,1242,2,1412,5059,4045,16424,28533,14099,1937,3162,6211,2623,5056,3442,3781,2851,2736,3439
21:11:36,801,31,243,0,0,1246,2,1856,1974,644,16395,34251,17246,3571,5890,6042,1511,5620,4992,5688,4215,2808,2263
21:11:38,701,31,223,0,0,1248,2,940,1913,2283,14418,28628,15343,1367,4744,7907,6080,3361,4988,3189,1214,1923,2884
21:11:40,836,31,272,0,0,1250,2,1850,3138,4644,21392,34881,15935,1518,6191,13635,11887,5293,916,495,2271,2862,2880
21:11:42,794,31,232,0,0,1252,2,1722,3919,3466,13952,29174,15064,633,5932,6414,2761,2901,2448,4364,4698,3819,1307
21:11:45,738,31,204,0,0,1253,2,4568,2233,743,12428,31964,22003,1654,1355,7902,7461,848,4280,2335,1958,3285,4549
21:11:47,833,31,282,0,0,1257,2,2257,3346,1807,17245,36173,20509,1781,4243,5976,1773,2523,1050,4512,4983,3677,349
21:11:49,708,31,199,0,0,1259,2,1078,916,854,12838,25564,13316,3180,4204,8935,4382,3742,2920,3473,4481,3603,1596
21:11:51,778,31,236,0,0,1261,2,1526,1876,3052,15759,30300,17327,881,1136,6206,4515,2401,3543,3048,5061,5802,6028
21:11:54,866,31,256,0,0,1263,2,420,1176,3616,17866,32815,17562,2039,4916,10845,7629,4342,881,2466,1874,3317,2000
21:11:56,707,31,216,0,0,1264,2,3498,3578,1576,15913,30310,11974,4604,4519,10072,2815,4054,2296,3676,1965,1551,1465
21:11:58,730,31,214,0,0,1268,2,2936,3284,603,15234,27484,14644,6326,3634,8272,9915,6286,536,2933,1641,3450,1254
21:12:00,875,31,282,0,0,1270,2,226,1793,2295,16769,36162,19767,976,5624,9914,4210,3481,2051,2069,2966,1633,1720
21:12:02,706,31,220,0,0,1272,2,221,2170,1767,13793,28181,15580,4540,4539,8588,2705,4750,2565,4797,3571,2972,2988
21:12:05,791,31,244,0,0,1273,2,2296,1480,3153,17146,27677,12173,1863,6662,7436,3533,4446,3453,3613,7676,5646,1607
21:12:07,764,31,211,0,0,1275,2,282,477,1242,16111,32355,17746,1315,6529,12299,9220,5557,3621,2652,1335,1142,2422
21:12:09,882,31,272,0,0,1279,2,2393,2743,2686,15093,34902,18225,2086,4549,9723,7037,3110,1911,123,633,1122,717
21:12:11,798,31,226,0,0,1281,2,3721,4811,4429,12783,29001,14695,1822,4703,10309,5106,800,2693,3923,3811,3544,2337
21:12:14,861,31,268,0,0,1283,2,3060,4353,6821,14954,34396,23980,4315,7170,8368,2311,4778,2977,4119,5101,3862,2132
21:12:16,859,31,274,0,0,1284,2,282,3707,1585,16040,32460,17054,983,2734,7304,6147,3149,2027,4517,2515,3925,2873
21:12:18,902,31,287,0,0,1288,2,4376,2505,1612,14008,30991,17014,1394,4350,7856,2596,2189,1322,2520,4989,2956,808
21:12:22,810,31,246,0,0,1292,2,561,4851,3718,14823,31573,17919,1875,3541,7606,4413,3261,1838,5665,4356,5156,1908
21:12:25,804,31,262,0,0,1294,2,36,1075,2969,16639,33587,19034,3846,2668,5035,6656,4987,2119,6467,3782,5658,1858
21:12:27,850,31,267,0,0,1295,2,1801,3299,3671,18214,35790,19359,730,3404,6981,3151,3262,924,5676,6421,4981,1413
