时间,RMS,频率,幅值,温度,运行时长,状态,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15
21:19:36,765,23,171,0,0,1722,2,7987,2953,17699,22005,1481,9719,3793,13403,19155,10146,5503,3242,2789,4280,3608,2033
21:19:38,856,15,167,0,0,1724,2,6219,3563,21460,21194,9454,9377,6209,14467,20779,5444,2974,1612,1143,1476,1795,1236
21:19:40,878,62,162,0,0,1726,2,3895,3318,21878,22889,3762,13947,4551,18875,20848,4370,2210,2055,1571,444,1095,1730
21:19:43,806,15,160,0,0,1729,2,6952,4825,18541,27694,13528,8418,10512,15867,16065,988,5365,580,284,2579,494,770
21:19:45,796,62,172,0,0,1731,2,6389,3507,17655,18275,2766,10860,4753,19860,22035,8030,4064,787,1801,343,1473,472
21:19:47,801,23,171,0,0,1733,2,8413,3916,17413,21893,6751,10205,7110,17352,18825,5391,3622,1555,3816,284,3170,2099
21:19:49,816,62,147,0,0,1735,2,1816,2944,18113,19548,5168,11243,7421,16701,21400,10583,1635,3839,4059,4248,3174,3348
21:19:51,810,23,181,0,0,1737,2,250,3586,16715,15409,5081,11091,9064,16505,16400,2611,1673,1988,2380,3234,2929,2198
21:19:54,877,23,174,0,0,1740,2,6223,1440,19814,22679,9412,7686,6657,17290,22087,6991,4646,4009,2062,2285,2420,3470
21:19:56,862,62,178,0,0,1742,2,1554,6332,20279,18900,9732,10552,11425,19461,22819,7644,5667,6041,1059,3391,647,4655
21:19:58,873,62,154,0,0,1744,2,1239,2208,14316,16858,4617,11973,11859,9841,21824,5363,1710,1157,1991,1630,1551,451
21:20:00,892,23,187,0,0,1746,2,4080,1858,17597,19240,2618,5929,923,16980,23166,9770,6722,5370,1196,1378,3122,4688
21:20:07,831,23,194,0,0,1753,2,7019,5271,21594,24847,6228,6117,3625,18703,23497,10694,3267,569,3265,1903,1099,1731
21:20:09,887,62,182,0,0,1755,2,443,1348,15914,18957,7334,6415,4688,21374,20671,8310,5099,1042,2235,4253,4377,1648
21:20:11,838,62,161,0,0,1757,2,4923,2827,19700,23559,8753,5094,4669,21491,18833,5895,3723,3896,2825,447,1762,3753
21:20:14,742,23,152,0,0,1759,2,696,4262,19674,22016,7810,8258,3044,19940,23730,9855,5553,2424,3694,3854,4910,2258
21:20:16,931,62,187,0,0,1762,2,3554,4112,21544,21650,10438,13682,12329,20308,24057,6126,1625,4218,3531,3140,3869,4744
