时间,RMS,频率,幅值,温度,运行时长,状态,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15
19:45:22,1259,70,321,0,0,441,1,2753,5249,2511,795,1577,422,2275,8120,35950,44193,11918,4324,423,2924,901,3829
19:45:24,809,70,215,0,0,443,1,3078,4377,3459,2275,1561,1635,2733,1844,17677,27570,11467,1718,1528,702,597,1385
19:45:26,871,70,232,0,0,445,1,458,1870,1974,640,770,826,996,3051,47125,59732,18706,4372,3068,3215,3033,5281
19:45:28,1712,70,466,0,0,447,1,3161,3031,2136,3321,3164,3970,6930,5138,65535,65535,31843,5571,2313,2657,3067,6168
19:45:30,2891,70,786,0,0,449,1,1521,977,786,1197,2699,2950,4594,15334,65535,65535,30352,12067,3318,7578,5260,8932
19:45:33,2012,70,542,0,0,452,1,1406,2451,735,1170,2221,2212,6342,2952,52552,65535,23425,3726,4053,3474,3600,6986
19:45:35,1108,70,296,0,0,454,1,3670,6810,2738,812,395,610,1638,8075,65535,65535,26198,8812,2373,6086,4356,8008
19:45:37,3278,70,891,0,0,456,1,6619,4286,5176,3773,4983,4676,5212,17336,19968,31458,13660,4117,3454,2434,1494,2345
19:45:39,913,70,245,0,0,458,1,4257,4768,3731,3238,3419,3336,2898,15031,47654,60624,17737,5412,1353,3864,685,5636
19:45:42,1717,70,473,0,0,460,1,1137,6592,5856,3912,5141,5470,9218,6556,65535,65535,30370,2483,2287,2699,2892,8196
19:45:44,3036,70,850,0,0,463,1,8801,6349,3969,1885,1659,2647,5926,9391,65535,65535,37247,8371,6525,7693,7731,11924
19:45:46,2488,70,675,0,0,465,1,2622,1924,3906,4276,1931,2922,2943,14955,65535,65535,31343,7982,2777,3076,4025,5908
19:45:48,3254,70,889,0,0,467,1,3661,2138,5566,5219,4369,4458,6114,15071,47780,61144,18716,2300,617,795,1337,4117
19:45:50,1810,70,477,0,0,469,1,2118,2617,1726,1084,1848,2577,5647,5362,50441,65329,22707,3371,4279,4152,4831,7618
19:45:53,3170,70,887,0,0,472,1,3011,2181,1050,385,1894,3476,4795,7013,47515,62444,19939,5206,2181,3486,2234,5085
19:45:55,651,70,172,0,0,474,1,1021,3408,2786,1094,514,1040,1422,3431,16723,22035,5858,3329,518,855,567,622
19:45:57,2275,70,609,0,0,476,1,3747,5313,3211,2453,2872,4630,3045,14909,26340,33753,10539,3461,2437,2376,1922,3662
